4795,18189,2007-01-27 13:40:59.0,1,5,2007-01-27 13:40:59.0,0
34050,35761,2007-01-02 23:36:08.0,125,125,2007-01-02 23:36:08.0,0
12956,577,2007-02-03 22:28:57.0,0,42,2007-01-06 22:56:33.0,0
4323,23496,2007-02-03 18:09:19.0,0,1,2007-01-05 20:12:46.0,0
12968,15744,2007-01-29 20:21:43.0,6,6,2007-01-06 07:08:53.0,0
3216,28812,2007-01-29 04:40:13.0,0,1,2007-01-17 11:58:46.0,0
701,19523,2007-01-28 00:50:09.0,0,1,2007-01-06 05:01:29.0,0
2119,14059,2007-01-08 12:09:26.0,111,111,2007-01-08 12:09:26.0,0
3257,15694,2007-02-01 15:10:13.0,1,1,2007-01-03 16:48:10.0,0
21238,41847,2007-01-27 15:38:59.0,1,1,2007-01-06 04:03:04.0,0
4808,1299,2007-01-12 11:13:00.0,1872,1872,2007-01-01 22:01:28.0,0
1239,4243,2007-02-03 15:21:12.0,0,1,2007-01-06 22:12:20.0,0
35254,8197,2007-02-03 15:03:10.0,0,1,2007-01-06 17:49:55.0,0
3356,29761,2007-02-03 21:09:38.0,1,1,2007-01-13 04:00:05.0,0
8330,3213,2007-02-02 23:34:06.0,0,1,2007-01-06 12:31:38.0,0
209,14041,2007-02-03 23:33:53.0,0,19,2007-01-06 18:21:23.0,0
701,26239,2007-02-03 21:40:19.0,0,1,2007-01-06 22:30:41.0,0
5089,12306,2007-01-15 11:10:37.0,1,1,2007-01-15 11:10:37.0,0
2819,34222,2007-01-25 04:18:01.0,1,1,2007-01-01 22:12:17.0,0
701,40017,2007-02-03 11:16:17.0,0,1,2007-01-06 14:44:58.0,0
25113,6736,2007-01-13 23:41:01.0,519,521,2007-01-07 00:25:14.0,0
19864,4565,2007-01-25 21:30:26.0,0,1,2007-01-13 02:32:39.0,0
8210,6939,2007-02-01 02:32:20.0,101,101,2007-02-01 02:32:20.0,0
6395,26433,2007-02-03 21:16:31.0,0,1,2007-01-06 08:01:43.0,0
4323,11593,2007-02-03 08:57:40.0,1,2,2007-01-07 00:14:08.0,0
13768,23320,2007-02-02 05:53:48.0,1,1,2007-01-06 23:33:24.0,0
3356,12270,2007-01-31 04:44:08.0,1,1,2007-01-31 04:44:08.0,0
4355,19029,2007-02-04 00:30:11.0,1,3,2007-01-06 15:36:06.0,0
7018,11062,2007-02-04 00:08:02.0,1,1,2007-01-06 22:45:20.0,0
513,12333,2007-02-01 16:54:52.0,0,1,2007-01-06 12:01:41.0,0
13768,30528,2007-01-28 12:03:16.0,1,1,2007-01-06 07:40:36.0,0
31242,8246,2006-12-31 03:59:14.0,0,1,2006-12-31 03:59:14.0,0
13811,10911,2007-01-04 21:25:52.0,1,1,2007-01-04 21:25:52.0,0
209,13442,2007-02-04 00:31:18.0,1,2,2007-01-06 23:08:02.0,0
5617,21010,2007-01-23 08:13:02.0,1,1,2007-01-23 08:13:02.0,0
5486,12975,2007-02-03 23:00:23.0,1,1,2007-01-07 00:30:32.0,0
3246,3274,2007-02-01 00:14:43.0,0,1,2007-01-04 06:51:49.0,0
5610,38952,2007-02-03 19:16:36.0,1,1,2007-01-06 21:13:26.0,0
5588,5606,2007-02-04 00:32:42.0,0,2,2007-01-07 00:29:57.0,0
17506,23967,2007-01-29 13:04:48.0,0,1,2007-01-06 15:12:38.0,0
701,13562,2007-02-03 17:19:53.0,0,1,2007-01-06 08:16:48.0,0
8961,9541,2007-02-03 16:04:18.0,0,1,2007-01-06 16:23:35.0,0
4725,17939,2007-02-03 18:58:21.0,1,1,2007-01-06 21:56:28.0,0
13103,31427,2007-02-02 16:10:03.0,1,1,2007-01-05 22:43:46.0,0
6389,25739,2007-02-03 19:19:16.0,0,2,2007-01-05 23:47:07.0,0
1299,25180,2007-02-03 22:32:04.0,1,1,2007-01-06 15:32:12.0,0
23342,16916,2007-02-03 21:10:33.0,0,1,2007-01-06 23:23:27.0,0
3356,11403,2007-02-04 00:17:25.0,0,1,2007-01-06 21:19:58.0,0
17746,9559,2007-02-03 19:04:18.0,1,1,2007-01-06 21:31:13.0,0
174,16276,2007-02-03 07:57:54.0,14,75,2007-01-05 16:52:27.0,0
6461,4,2007-01-28 15:26:25.0,0,1,2007-01-25 21:06:19.0,0
9916,18177,2007-01-27 19:54:16.0,1,1,2007-01-27 19:54:16.0,0
701,20409,2007-02-02 13:45:30.0,1,1,2007-01-06 08:07:34.0,0
6730,8703,2007-02-03 21:22:41.0,0,1,2007-01-07 00:05:37.0,0
8928,29301,2007-01-27 05:50:51.0,1,1,2007-01-07 04:44:23.0,0
3257,39120,2007-02-02 19:19:46.0,26,26,2007-01-13 11:03:57.0,0
8342,9153,2007-02-02 05:57:00.0,1,1,2007-01-04 05:05:46.0,0
3758,24030,2007-02-03 13:50:40.0,1,2,2007-01-06 00:42:31.0,0
3356,3464,2007-01-10 19:21:25.0,1,10,2007-01-10 19:21:25.0,0
14742,18726,2007-02-02 04:50:15.0,1,3,2007-01-06 17:02:27.0,0
2914,11697,2007-01-07 17:05:49.0,1,1,2007-01-05 21:27:13.0,0
7018,32693,2007-02-03 08:50:48.0,1,14,2007-01-06 23:03:11.0,0
7018,16581,2007-01-11 15:28:13.0,1,1,2007-01-06 16:53:03.0,0
